0.27;0.14;0.74;0.61
0.17;0.16;0.84;0.77
0.30;0.03;0.85;0.40
0.26;0.12;0.94;0.41
0.28;0.12;0.51;0.83
0.24;0.08;0.90;0.80
0.32;0.14;0.92;0.41
0.18;0.09;0.85;0.23
0.40;0.11;0.77;0.69
0.15;0.11;0.90;0.93
0.24;0.16;0.80;0.39
0.18;0.03;0.95;0.13
0.06;0.02;0.10;0.51
0.25;0.01;0.78;0.51
0.23;0.06;0.85;0.74
0.25;0.00;0.38;0.83
0.30;0.09;0.68;0.72
0.29;0.09;0.45;0.91
0.16;0.08;0.75;0.16
0.02;0.01;0.07;0.12
0.17;0.07;0.60;0.91
0.32;0.11;0.80;0.61
0.14;0.03;0.62;0.07
0.07;0.05;0.35;0.05
0.32;0.08;0.28;0.98
0.17;0.03;0.22;0.80
0.10;0.03;0.58;0.23
0.32;0.01;0.78;0.53
0.13;0.01;0.50;0.29
0.15;0.11;0.77;0.00
0.24;0.01;0.26;0.61
0.23;0.16;0.75;0.41
0.35;0.10;0.55;0.94
0.21;0.01;0.74;1.00
0.09;0.07;0.96;0.82
0.40;0.11;0.96;0.54
0.10;0.07;0.28;0.94
0.18;0.07;0.10;0.71
0.24;0.12;0.61;0.93
0.13;0.09;0.59;0.71
0.13;0.06;0.74;0.81
0.25;0.15;0.03;0.97
0.08;0.01;0.66;0.18
0.09;0.07;0.90;0.68
0.15;0.10;0.19;0.83
0.12;0.05;0.81;0.44
0.12;0.07;0.59;0.27
0.32;0.11;0.60;0.57
0.18;0.01;0.38;0.31
0.25;0.02;0.43;0.65
0.25;0.06;0.55;0.39
0.11;0.09;0.32;0.83
0.20;0.11;0.16;0.98
0.30;0.06;0.42;0.78
0.36;0.01;0.58;0.69
0.39;0.10;0.96;0.80
0.30;0.13;0.85;0.78
0.07;0.06;0.22;0.37
0.19;0.16;0.75;0.32
0.38;0.04;0.98;0.73
0.38;0.14;0.80;0.87
0.16;0.01;0.73;0.18
0.13;0.05;0.59;0.17
0.10;0.05;0.30;0.81
0.37;0.16;0.79;0.98
0.16;0.11;0.63;0.64
0.11;0.09;0.72;0.95
0.15;0.05;0.51;0.97
0.26;0.11;0.76;0.85
0.18;0.00;0.60;0.78
0.18;0.12;0.80;0.57
0.18;0.03;0.76;0.39
0.31;0.12;0.55;0.97
0.32;0.11;0.56;0.85
0.43;0.09;0.86;0.83
0.42;0.08;0.96;0.80
0.14;0.13;0.44;0.80
0.34;0.05;0.33;0.91
0.17;0.02;0.52;0.28
0.27;0.02;0.98;0.29
0.23;0.15;0.88;0.47
0.41;0.22;0.93;0.80
0.04;0.00;0.82;0.96
0.13;0.06;0.68;0.90
0.12;0.11;0.71;0.78
0.32;0.20;0.90;0.49
0.08;0.03;0.25;0.63
0.16;0.00;0.45;0.21
0.07;0.02;0.71;0.01
0.24;0.03;0.39;0.65
0.13;0.01;0.97;0.23
0.16;0.11;0.96;0.54
0.31;0.15;0.60;0.80
0.22;0.02;0.80;0.59
0.17;0.07;0.31;0.75
0.19;0.03;0.34;0.60
0.27;0.10;0.55;0.76
0.30;0.06;0.67;0.75
0.24;0.05;0.60;0.59
0.26;0.02;0.42;0.61
0.15;0.04;0.87;0.63
0.11;0.00;0.48;0.79
0.13;0.09;0.32;0.96
0.19;0.10;0.80;0.02
0.28;0.02;0.14;0.98
0.23;0.18;0.05;0.86
0.14;0.08;0.07;0.85
0.16;0.13;0.76;0.75
0.09;0.04;0.40;0.71
0.18;0.08;0.00;0.78
0.18;0.07;0.73;0.77
0.36;0.11;0.44;0.96
0.20;0.15;0.82;0.57
0.19;0.05;0.67;0.84
0.35;0.09;0.49;0.74
0.29;0.17;0.78;0.41
0.16;0.00;0.31;0.86
0.18;0.03;0.03;0.61
0.09;0.05;0.64;0.49
0.10;0.07;0.21;0.60
0.05;0.00;0.26;0.83
0.23;0.16;0.93;0.88
0.20;0.12;0.80;0.05
0.17;0.12;0.50;0.66
0.20;0.19;0.01;0.88
0.26;0.03;0.72;0.43
0.09;0.00;0.10;0.89
0.36;0.15;0.72;0.92
0.21;0.18;0.96;0.69
0.24;0.11;0.90;0.27
0.21;0.04;0.50;0.92
0.35;0.06;0.65;0.70
0.33;0.03;0.72;0.88
0.36;0.02;0.39;0.83
0.10;0.07;0.46;0.13
0.31;0.08;0.22;0.97
0.05;0.01;0.50;0.78
0.29;0.08;0.46;0.90
0.12;0.10;0.87;0.58
0.20;0.02;0.30;0.96
0.10;0.04;0.32;0.70
0.26;0.17;0.80;0.95
0.31;0.17;0.72;0.68
0.38;0.12;0.62;0.94
0.29;0.04;0.54;0.85
0.43;0.19;0.96;0.74
0.16;0.04;0.35;0.34
0.22;0.20;0.01;0.98
0.20;0.02;0.60;0.65
0.37;0.04;0.51;0.98
0.43;0.02;0.75;0.77
0.24;0.08;0.83;0.33
0.50;0.06;0.99;0.81
0.44;0.06;0.88;0.75
0.20;0.08;0.83;0.48
0.29;0.06;0.70;0.71
0.10;0.01;0.48;0.81
0.07;0.04;0.29;0.54
0.35;0.14;0.70;0.87
0.28;0.09;0.93;0.75
0.14;0.09;0.10;0.78
0.11;0.07;0.31;0.77
0.02;0.01;0.54;0.53
0.17;0.16;0.80;0.47
